FULL_NAME,GRADE,SSAN,RECORD_STATUS,ASSIGNED_PAS,ASSIGNED_PAS_CLEARTEXT,OFFICE_SYMBOL,DUTY_TITLE,DUTY_START_DATE,DOR,DAFSC,CAFSC,PAFSC,2AFSC,3AFSC,4AFSC,DATE_ARRIVED_STATION,DUTY_PHONE,TAFMSD,DOE,DOS,DATE_OF_BIRTH,HOME_ADDRESS,HOME_CITY ,HOME_STATE,HOME_ZIP_CODE,SUPV_NAME,GRADE_PERM_PROJ,UIF_CODE,UIF_DISPOSITION_DATE,PROJ_EVAL_CLOSE_DATE,MARITAL_STATUS,RNLTD,GAINING_PAS,GAINING_PAS_CLEARTEXT,LAST_EVAL_RATING,LAST_EVAL_CLOSE_DATE,PERF_INDICATOR,SPOUSE_SSAN,SUPV_BEGIN_DATE,REENL_ELIG_STATUS,HOME_PHONE_NUMBER,AGE,DEROS,DEPLOY_ADMIN_STATUS,DEPLOY_ADMIN_STATUS_CLEARTEXT,DEPLOY_ADMIN_STOP_DATE,DEPLOY_LEGAL_STATUS,DEPLOY_LEGAL_STATUS_CLEARTEXT,DEPLOY_LEGAL_STOP_DATE,DEPLOY_PHYS_STATUS,DEPLOY_PHYS_STATUS_CLEARTEXT,DEPLOY_PHYS_STOP_DATE,DEPLOY_TIME_STATUS,DEPLOY_TIME_STATUS_CLEARTEXT,DEPLOY_TIME_STOP_DATE,AVAILABILITY_CODE,AVAILABILITY_CODE_CLEARTEXT,AVAILABILITY_DATE,AVAILABILITY_STATUS,AVAILABILITY_STATUS_CLEARTEXT,LIMITATION_CODE,LIMITATION_CODE_CLEARTEXT,LIMITATION_END_DATE,SEC_CLR,TYPE_SEC_INV,DT_SCTY_INVES_COMPL,SEC_ELIG_DT,TECH_ID,ACDU_STATUS,ANG_ROLL_INDICATOR,AFR_SECTION_ID,CIVILIAN_ART_ID,ATTACHED_PAS,FUNCTIONAL_CATEGORY
Fernanda Ranstead,2LT,512-54-5483,10,NM1234,SQUADRONLRAFB,CYCM,Operator,21-Dec-2022,02-Nov-2019,5C071,2E274,,,,,06-Feb-2018,757-583-4948,15-Dec-2002,08-Sep-2023,22-Jul-2023,30-Jun-2018,2 Thompson Street,Hampton,Virginia,37808-110,Dukie Tosh,,,,02-May-2024,D,,,,V,24-Jul-2023,A,123-12-2456,26-Feb-2023,1M,214-945-3290,25,,,,,,,,,,,,,,81,,21-Dec-2023,,APPROVED,,,28-Aug-2024,V,A,04-Jun-2023,15-Jul-2023,,,,,,,A
Fax Domanek,COL,125-85-1536,10,VQ1234,SQUADRONVSFB,CYPR,Food Chemist,04-Dec-2022,12-Nov-2023,5C071,2M02S,2E274,,,,22-Sep-2019,559-621-7418,17-Jan-2016,08-Oct-2023,08-Mar-2023,09-Mar-2074,43881 Spenser Road,Fresno,California,64942-1348,Pernell Orro,,,,09-Feb-2024,M,,,,Y,30-Aug-2023,A,125-85-1536,14-Nov-2023,1R,617-297-1198,25,29-Aug-2023,,,,,,,,,,,,,81,MEDICAL DEFERMENT,01-Oct-2024,A,,,,09-Aug-2024,V,9,28-Apr-2019,03-Dec-2021,,,,,,,A
Charlie Talks,TSG,123-12-2456,20,VQ1234,SQUADRONVSFB,CYPR,Human Resources Assistant IV,01-Jul-2023,18-Nov-2019,2M02S,2E274,2M02S,,,,03-Jun-2018,816-151-1379,13-Dec-2000,30-Nov-2022,07-Jun-2023,27-Sep-2029,3514 Hauk Circle,Independence,Missouri,43538-130,Perceval Twizell,,,,14-Nov-2024,D,,,,V,10-Aug-2023,A,123-12-2456,28-May-2023,1J,301-196-4350,31,,,,,,,,,,,,,,,,30-Apr-2024,,,,MED  ASSIGNMENT LIMITATION,21-Mar-2024,V,7,29-Jan-2021,06-Jan-2022,,,,,,,A
Lionel Dreigher,2LT,123-12-2456,10,VQ1234,SQUADRONLRAFB,CYCM,Assistant Manager,21-Feb-2022,15-Jun-2023,2E274,2E274,,,,,02-Oct-2021,772-940-3125,08-Sep-2011,10-Feb-2023,09-Dec-2022,08-May-2023,60 Claremont Plaza,Vero Beach,Florida,10202-085,Leila Sutty,,,,26-Feb-2024,M,,,,L,21-Sep-2023,A,125-85-1536,28-Dec-2022,1J,202-368-5251,33,,,,,,,,,,,,,,,,,,,,,14-Nov-2024,V,5R,08-May-2020,12-Apr-2022,,,,,,,A
Antonie Kinnock,SP1,159-84-8462,10,NM1234,SQUADRONLRAFB,CYP,Chief Design Engineer,25-Nov-2022,24-Apr-2019,2M02S,17D,,,,,17-Oct-2021,512-103-6437,10-Mar-2001,26-Apr-2023,04-Nov-2023,27-May-2008,3 Merry Parkway,Austin,Texas,64942-1345,Ximenes Cumbers,,,,21-Jan-2024,S,,,,Y,04-Dec-2022,A,152-58-5486,29-Jul-2023,3C,504-932-2969,53,,,,,,,,,,,,,,,,,,,L,,05-Nov-2024,V,A,20-Jun-2022,20-Oct-2023,,,,,,,A
Claribel Bensusan,TSG,125-85-1536,10,NM1234,SQUADRONLRAFB,CYC,VP Marketing,13-Feb-2022,09-Aug-2022,17D,2E274,,,,,14-Jul-2019,804-291-3180,14-Nov-2020,24-Sep-2023,07-Aug-2023,22-Mar-2020,23882 Artisan Drive,Richmond,Virginia,68084-457,Truman Wycliffe,,,,21-Aug-2024,M,,,,V,13-Nov-2023,A,159-84-8462,01-May-2023,1M,661-859-5199,34,,,,,,,,,,,,,,,MEDICAL,,,,,,18-Mar-2024,V,A,31-Aug-2019,16-Oct-2023,,,,,,,A
Sileas Horick,MSG,125-85-1536,20,VQ1234,SQUADRONVSFB,CYCP,Mechanical Systems Engineer,11-Feb-2022,17-Nov-2021,Z5C052,2M02S,Z5C052,,,,12-Sep-2018,810-926-8485,29-May-2014,25-Feb-2023,21-Oct-2023,29-Sep-2024,0 Transport Parkway,Detroit,Michigan,63187-181,Noble Van der Mark,,,,26-Apr-2024,S,,,,A,25-Jan-2023,A,123-12-2456,14-Aug-2023,1M,304-597-0648,30,,,,,,,,,,,,,,31,,,,,,MED  ASSIGNMENT LIMITATION,10-Nov-2024,V,9,06-Sep-2021,20-Sep-2023,,,,,,,A
Rivalee Lasseter,SP1,159-84-8462,10,VQ1234,SQUADRONLRAFB,CYCP,Electrical Engineer,25-Oct-2021,16-May-2020,2E274,Z5C052,,,,,17-Nov-2017,615-212-4165,03-Sep-2023,22-Dec-2022,08-Jul-2023,06-Dec-2010,88 Cottonwood Alley,Nashville,Tennessee,50436-2608,Idette Wolffers,,,,17-Mar-2024,M,,,,Y,24-Feb-2023,A,152-58-5486,31-Oct-2023,1M,304-771-8399,46,,,,,,,,,,,,,,,MEDICAL,,,,,,16-Aug-2024,V,5R,16-Sep-2019,02-Dec-2022,,,,,,,A
Tami Ellacott,MSG,159-84-8462,20,VQ1234,SQUADRONVSFB,CYP,Actuary,02-Nov-2023,18-Feb-2019,Z5C052,5C071,,,,,05-Dec-2021,210-629-0906,20-Dec-2012,11-Apr-2023,12-Jun-2023,18-Sep-2039,83 Blue Bill Park Circle,San Antonio,Texas,41190-913,Whitaker Perrin,,,,05-Oct-2024,M,,,,A,23-Jan-2023,A,123-12-2456,19-Jul-2023,3C,251-510-2676,25,,,,,,,,,,,,,,,,,A,APPROVED,O,,14-Mar-2024,V,5R,31-Dec-2018,05-Jun-2022,,,,,,,A
Phineas Grimme,SGT,123-12-2456,20,NM1234,SQUADRONVSFB,CYP,Professor,04-Mar-2023,09-Sep-2019,2E274,5C071,,,,,18-Oct-2021,928-621-0485,01-Oct-2022,25-Mar-2023,05-Aug-2023,28-Jul-2034,9020 American Ash Point,Peoria,Arizona,68084-199,Trina Standing,,,,23-Sep-2024,M,,,,L,26-Feb-2023,A,512-54-5483,15-Nov-2022,1M,512-203-5352,18,,,,,,,,,,,,,,81,MEDICAL,,,,,APPROVED SRB,20-Oct-2024,V,A,25-Feb-2021,26-Feb-2022,,,,,,,A
Benedick Gibbonson,1LT,125-85-1536,10,VQ1234,SQUADRONLRAFB,CYCP,Marketing Manager,16-Oct-2022,11-Sep-2023,5C071,2M02S,,,,,25-Nov-2019,850-377-3504,08-Dec-2015,14-Sep-2023,02-Aug-2023,26-Dec-2053,2010 Union Pass,Tallahassee,Florida,63629-3379,Trenton Van Der Walt,,,,06-May-2024,D,,,,A,25-Apr-2023,A,159-84-8462,23-Apr-2023,1R,918-510-9471,47,,,,,,,,,,,,,,44,MEDICAL,06-Aug-2024,,,,MED  ASSIGNMENT LIMITATION,19-Mar-2024,V,7,22-Dec-2021,19-Feb-2023,,,,,,,A
Caresa Ordelt,SGT,512-54-5483,10,NM1234,SQUADRONLRAFB,CYCP,Executive Secretary,22-Mar-2022,24-Jun-2019,2E274,5C071,,,,,19-Jun-2022,303-526-7962,16-Jul-2010,15-Apr-2023,16-Mar-2023,14-May-2047,6336 Lakeland Center,Aurora,Colorado,0703-4248,Merrilee Pawlik,,,,18-Dec-2023,M,04-Mar-2025,,,A,15-Apr-2023,A,512-54-5483,29-Jan-2023,1M,303-287-5425,45,,,,,,,,,,,,,,,MEDICAL DEFERMENT,,,,,MED  ASSIGNMENT LIMITATION,30-Aug-2024,V,A,17-Dec-2020,17-Mar-2022,,,,,,,A
Billie Deyes,CPT,159-84-8462,10,VQ1234,SQUADRONVSFB,CYC,Analog Circuit Design manager,10-Sep-2022,08-Jun-2023,17D,5C071,,,,,01-Apr-2022,202-381-8113,13-Dec-2005,10-May-2023,21-Aug-2023,15-Mar-2039,041 Corscot Pass,Washington,District of Columbia,49348-421,Nicholas Sedger,,,,17-Jul-2024,M,,,,V,13-Feb-2023,A,152-58-5486,22-May-2023,1J,559-129-7019,21,,,,,,,,,,,,,,,MEDICAL,,,,,,28-Feb-2024,V,9,11-Dec-2020,21-Jun-2023,,,,,,,A
Aleda Challen,MSG,152-58-5486,10,VQ1234,SQUADRONVSFB,CYP,Actuary,20-Aug-2023,10-Dec-2021,5C071,2M02S,,,,,16-Mar-2021,804-726-3911,20-Sep-2002,31-Jan-2023,15-May-2023,04-May-2061,1 North Crossing,Richmond,Virginia,64038-630,Hort Cartmer,,,,18-Jan-2024,D,30-Apr-2024,,,L,23-Jun-2023,A,152-58-5486,06-Aug-2023,1R,502-539-0841,36,,,,,,,,,,,,,,31,DEPLOYABLE WITH LIMITATIONS,06-Jan-2024,A,,,,19-Jul-2024,V,A,06-Nov-2022,22-Oct-2022,,,,,,,A
Shayne Musicka,MSG,159-84-8462,10,NM1234,SQUADRONVSFB,CYCP,Software Engineer II,22-Apr-2023,11-Nov-2020,2E274,Z5C052,,,,,02-May-2022,915-816-5859,10-Aug-2004,25-Mar-2023,21-May-2023,15-Nov-2072,1739 Roth Way,El Paso,Texas,24286-1561,Gail Androli,,,,24-May-2024,M,,,,A,19-Mar-2023,A,152-58-5486,02-May-2023,1J,386-150-2098,51,,,,,,,,,,20-Feb-2023,,PCS INTERCOMMAND WITHIN 180 DAYS,,,,28-Feb-2024,,,,MED  ASSIGNMENT LIMITATION,08-Oct-2024,V,9,18-Apr-2023,30-Oct-2023,,,,,,,A
Lonnie Tunno,1LT,123-12-2456,20,VQ1234,SQUADRONLRAFB,CYCM,Account Coordinator,01-Mar-2022,27-Apr-2020,2M02S,2E274,,,,,21-Feb-2018,704-293-6152,29-Mar-2011,21-Nov-2022,14-Jun-2023,03-Mar-2069,94 Linden Center,Charlotte,North Carolina,55111-183,Ileane McElory,,,,30-Dec-2023,M,,,,A,09-Sep-2023,A,123-12-2456,28-Feb-2023,1R,602-882-6933,23,,,,,,,,,,,,,,81,,,A,,,MED  ASSIGNMENT LIMITATION,24-Apr-2024,V,5R,27-Oct-2023,28-Aug-2022,,,,,,,A
Virginia Ellens,1LT,512-54-5483,10,VQ1234,SQUADRONLRAFB,CYPR,Engineer IV,07-Nov-2023,21-Dec-2020,5C071,5C071,,,,,19-Oct-2019,763-243-8656,28-Mar-2002,11-Oct-2023,24-Mar-2023,15-Oct-2069,23 Gale Lane,Monticello,Minnesota,43749-230,Richy Pinnegar,,,,23-Jun-2024,M,,NM1234,,V,12-Mar-2023,A,512-54-5483,26-Aug-2023,1R,901-344-2720,22,,,,,,,,,,,,,,,,14-May-2024,,APPROVED,,MED  ASSIGNMENT LIMITATION,16-May-2024,V,T5,04-Jun-2021,08-Jul-2022,,,,,,,A
Josias Moiser,SP3,152-58-5486,10,VQ1234,SQUADRONLRAFB,CYCP,Quality Control Specialist,12-Apr-2022,14-Aug-2023,17D,5C071,,,,,19-Dec-2019,520-942-2074,14-Jan-2002,12-Aug-2023,26-Mar-2023,09-May-2080,278 7th Street,Tucson,Arizona,0169-7050,Langston Kimmins,,,,09-Oct-2024,D,,,,Y,05-May-2023,A,152-58-5486,10-Jan-2023,3C,202-642-9407,53,,,,,,,,,,,,,,,,,,,,,15-Jul-2024,V,T5,14-Apr-2019,08-Jul-2022,,,,,,,A
Abba Larderot,LTC,512-54-5483,20,VQ1234,SQUADRONVSFB,CYCM,Financial Analyst,15-Dec-2021,09-Dec-2022,5C071,17D,,,,,09-Feb-2020,317-303-1122,28-Nov-2002,26-Oct-2023,02-Oct-2023,29-May-2063,4 Oakridge Crossing,Indianapolis,Indiana,12634-437,Rozina Records,,,,26-Nov-2023,S,,,,A,11-Oct-2023,A,152-58-5486,05-Nov-2023,1M,706-383-9239,51,,,,,,,,,,,,,,,,28-Jan-2024,A,,,EFMP,17-Sep-2024,V,T5,02-Jan-2022,10-May-2022,,,,,,,A
Shoshanna Keays,MSG,159-84-8462,10,NM1234,SQUADRONVSFB,CYPR,Occupational Therapist,01-Oct-2021,20-Dec-2018,Z5C052,2E274,,,,,10-Jun-2022,850-334-0277,18-Aug-2017,01-Sep-2023,12-Feb-2023,09-May-2026,15080 Schmedeman Drive,Pensacola,Florida,64661-711,Stacy Petrov,,,,02-Apr-2024,D,,,,Y,25-Apr-2023,A,152-58-5486,23-Mar-2023,1M,502-671-0234,29,,,,,,,,,,,,,,,,,,,,,14-Apr-2024,V,7,12-Jun-2021,17-Dec-2021,,,,,,,A
Dorey Reisin,SMS,123-12-2456,20,NM1234,SQUADRONLRAFB,CYC,Nuclear Power Engineer,04-Oct-2021,25-Jun-2021,17D,5C071,,,,,30-Jul-2019,313-794-5042,14-Jul-2005,27-Nov-2022,05-May-2023,01-Apr-2071,446 Sloan Street,Detroit,Michigan,57520-0367,Teirtza Chown,,,,01-Mar-2024,S,28-Mar-2024,,,V,04-Jun-2023,A,159-84-8462,07-Mar-2023,1J,323-859-3070,37,,,,,,,,,,,,,,81,DEPLOYABLE WITH LIMITATIONS,08-Dec-2023,,,,MED  ASSIGNMENT LIMITATION,06-Nov-2024,V,T5,30-May-2023,01-Sep-2022,,,,,,,A
Edee Thurstance,CMS,123-12-2456,20,VQ1234,SQUADRONLRAFB,CYCM,Biostatistician II,02-Nov-2021,19-Apr-2023,2M02S,Z5C052,,,,,28-Jun-2020,815-664-8448,22-Nov-2012,08-Nov-2023,27-Jun-2023,19-Feb-2060,74 Rusk Center,Joliet,Illinois,53329-008,Marven Theakston,,,,27-Jun-2024,M,,,,V,22-Sep-2023,A,125-85-1536,16-Aug-2023,3C,203-205-9046,49,,,,,,,,,,,,APPROVED SERARATION,,81,,,A,,Q,,15-Apr-2024,V,5R,01-May-2023,24-Aug-2023,,,,,,,A
Rubina Beeck,MAJ,512-54-5483,10,NM1234,SQUADRONVSFB,CYP,Accounting Assistant I,26-Feb-2023,04-Dec-2021,Z5C052,5C071,,,,,26-Dec-2018,217-683-1380,17-Feb-2009,08-Sep-2023,04-Nov-2023,23-Dec-2036,5 Sullivan Junction,Decatur,Illinois,59762-2332,Casi Dispencer,,,,29-Apr-2024,D,,,,V,17-Mar-2023,A,512-54-5483,07-Jan-2023,1M,414-157-6266,39,,,,,,,,,,,,,,,DEPLOYABLE WITH LIMITATIONS,,,,L,,13-Mar-2024,V,T5,28-Jun-2021,24-Jul-2022,,,,,,,A
Adolf Doylend,2LT,512-54-5483,10,NM1234,SQUADRONLRAFB,CYCP,Statistician IV,08-Jun-2022,03-Jun-2021,2E274,2M02S,,,,,27-Nov-2021,251-851-2688,27-Jun-2005,25-Mar-2023,16-Mar-2023,18-Oct-2030,81566 Buena Vista Way,Mobile,Alabama,59535-8601,Franky Rampage,,,,06-Dec-2023,M,,VQ1234,,A,19-Oct-2023,A,512-54-5483,28-Dec-2022,1R,786-911-2810,42,,,,,,,,,,,,,,,,,,,L,EFMP,31-Mar-2024,V,5R,19-Apr-2023,21-Mar-2023,,,,,,,A
Worthington Ham,CPT,159-84-8462,20,VQ1234,SQUADRONVSFB,CYCP,Statistician IV,14-Mar-2023,30-Sep-2019,2M02S,17D,,,,,22-Oct-2019,510-192-0784,21-Jul-2011,08-Sep-2023,13-Apr-2023,03-May-2016,0 Melvin Avenue,Hayward,California,13537-314,Kala Livzey,,,,09-Oct-2024,M,,,,A,09-Dec-2022,A,123-12-2456,30-Aug-2023,1M,205-452-8144,24,,,,,,,,,,,,,,,MEDICAL DEFERMENT,20-Feb-2024,,,,,16-Apr-2024,V,5R,06-May-2020,28-Dec-2021,,,,,,,A
Vivi Lascelles,CMS,152-58-5486,10,VQ1234,SQUADRONLRAFB,CYCP,VP Marketing,02-Mar-2022,30-Jan-2020,5C071,2M02S,,17D,,,27-Sep-2022,912-208-6512,11-Sep-2001,22-May-2023,15-Feb-2023,21-Aug-2037,4810 Glendale Pass,Macon,Georgia,59543-2001,Silas Tibbetts,,,,05-Apr-2024,M,,,,A,26-Jan-2023,A,152-58-5486,12-Jul-2023,1J,212-585-4228,25,,,,,,,,,,,,,,,MEDICAL,,A,,,APPROVED SRB,22-Aug-2024,V,9,16-Oct-2023,08-Jul-2023,,,,,,,A
Garrard Heritege,MAJ,125-85-1536,20,VQ1234,SQUADRONLRAFB,CYPR,Quality Control Specialist,05-May-2023,21-Oct-2021,5C071,5C071,,,,,01-Dec-2019,801-573-2516,24-Jun-2005,17-Apr-2023,23-Dec-2022,17-Jan-2006,560 Summit Plaza,Salt Lake City,Utah,51051-001,Anette Kasman,,,,09-Dec-2023,S,,,,A,06-Apr-2023,A,125-85-1536,02-Jan-2023,3C,816-882-7188,19,,,,,,,,,,,,,,,,,,APPROVED,,EFMP,05-Dec-2023,V,A,16-Jan-2021,15-Mar-2023,,,,,,,A
Ariel Rentilll,SGT,152-58-5486,10,NM1234,SQUADRONLRAFB,CYCM,Programmer I,03-Mar-2023,16-Mar-2022,5C071,17D,17D,,,,17-Feb-2022,818-880-7596,28-Apr-2021,14-Apr-2023,19-Nov-2022,24-Mar-2063,4 Fallview Avenue,Los Angeles,California,54868-5664,Nicky Letham,,,,02-Sep-2024,D,,NM1234,,L,07-Aug-2023,A,152-58-5486,12-Feb-2023,3C,404-502-3215,48,,,,,,,,,,,,,,,,05-Jul-2024,,APPROVED,O,,17-Sep-2024,V,T5,17-Aug-2020,09-Mar-2022,,,,,,,A
Brooke Brockett,SP4,152-58-5486,10,VQ1234,SQUADRONVSFB,CYCP,Pharmacist,18-Apr-2022,09-Nov-2019,17D,2M02S,,,,,25-Mar-2018,240-317-9905,10-Feb-2014,04-Sep-2023,08-Aug-2023,06-Nov-2014,49 Union Trail,Bowie,Maryland,64950-353,Cordy Humblestone,,,,02-Feb-2024,S,,,,Y,20-Sep-2023,A,159-84-8462,18-Nov-2022,3C,317-357-1895,20,,,,,,,,,,,,,,,MEDICAL,,,,,,16-Aug-2024,V,T5,28-Mar-2023,21-Jan-2022,,,,,,,A
